Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
FRAAME,6.086,29.134,1,Managed Forest,130E,721337.7713,4846096.693,-72.25154441037057,43.73486164294717,121.49,36.4
TSUCAN,6.69,28.265,1,Managed Forest,130E,721336.9736,4846095.998,-72.25155459063744,43.734855630523775,121.49,10.4
FRANIG,7.372,29.297,1,Managed Forest,130E,721338.0812,4846095.382,-72.25154110622925,43.73484975990097,121.75,51.2
TSUCAN,7.635,28.211,1,Managed Forest,130E,721337.0279,4846095.019,-72.25155432013187,43.734846809628216,121.57,11.7
TSUCAN,8.317,24.762,1,Managed Forest,130E,721333.6653,4846094.027,-72.25159643606766,43.73483889167563,121.86,15.5
ACESAC,7.635,23.405,2,Managed Forest,130E,721332.2334,4846094.616,-72.25161395400816,43.73484461626023,121.86,6.8
TSUCAN,5.325,21.884,2,Managed Forest,130E,721330.4514,4846096.87,-72.2516351290102,43.73486541960263,121.93,25.4
ACESAC,1.991,20.988,1,Managed Forest,130E,721329.1756,4846100.232,-72.25164956934874,43.73489603671483,121.82,11
TSUCAN,0.968,31.714,1,Managed Forest,130E,721339.7588,4846102.185,-72.25151749788382,43.73491044230912,121.91,17.5
TSUCAN,2.93,34.389,1,Managed Forest,130E,721342.6522,4846100.387,-72.25148235007346,43.734893408269784,122.01,21.7
ACESAC,4.688,37.675,1,Managed Forest,130E,721346.1318,4846098.851,-72.25143982356661,43.73487855555616,122.16,49.4
TSUCAN,7.575,30.859,1,Managed Forest,130E,721339.6628,4846095.303,-72.25152152156952,43.73484857733462,121.85,14.1
TSUCAN,5.449,31.728,1,Managed Forest,130E,721340.2861,4846097.568,-72.25151285816136,43.734868761687736,121.57,9.3
TSUCAN,5.213,32.325,1,Managed Forest,130E,721340.8547,4846097.861,-72.25150568498611,43.73487122708157,121.57,12.5
TSUCAN,2.894,30.652,1,Managed Forest,130E,721338.92,4846100.111,-72.25152875560201,43.734892040046994,121.69,11.6
TSUCAN,11.388,33.52,1,Managed Forest,130E,721342.7542,4846091.596,-72.25148470377002,43.73481431550579,121.93,17.3
TSUCAN,12.543,36.779,1,Managed Forest,130E,721346.1378,4846090.678,-72.25144311363586,43.734805049464484,121.74,15.7
TSUCAN,12.123,38.652,1,Managed Forest,130E,721347.9582,4846091.268,-72.25142029166803,43.73480981228823,122.14,22
TSUCAN,16.637,33.71,1,Managed Forest,130E,721343.5451,4846086.201,-72.25147711481463,43.734765559218786,122.14,13.5
TSUCAN,16.969,36.456,1,Managed Forest,130E,721346.3226,4846086.089,-72.25144271059322,43.73476372289298,121.79,17.7
TSUCAN,18.73,37.145,1,Managed Forest,130E,721347.2117,4846084.331,-72.25143240646497,43.73474764684132,121.85,12
TSUCAN,18.678,32.8,1,Managed Forest,130E,721342.8711,4846084.021,-72.25148637207776,43.73474615445308,122.08,14.8
