OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
608,12,6018,FAGGRA,6.2,6.909,17.523,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,240,6.909,257.523,-257.523,-6.909,721565.71,4846114.991,Managed/CutRegrowth
609,12,6019,FAGGRA,7.4,8.647,16.902,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,240,8.647,256.902,-256.902,-8.647,721565.2896,4846113.147,Managed/CutRegrowth
610,12,7599,FAGGRA,3,6.377,14.489,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,240,6.377,254.489,-254.489,-6.377,721562.6223,4846115.285,Managed/CutRegrowth
611,12,7600,FAGGRA,3.2,6.028,15.655,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,240,6.028,255.655,-255.655,-6.028,721563.7455,4846115.742,Managed/CutRegrowth
612,12,05966-1,PINSTR,29.5,11.235,2.523,M,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,240,11.235,242.523,-242.523,-11.235,721551.2414,4846109.274,Pasture1973
613,12,05966-2,PINSTR,21.4,11.235,2.523,M,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,240,11.235,242.523,-242.523,-11.235,721551.2414,4846109.274,Pasture1973
614,13,5783,ACESAC,57.1,18.455,17.804,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,18.455,277.804,-277.804,-18.455,721587.2654,4846104.789,Managed/CutRegrowth
615,13,5784,TSUCAN,6.3,18.399,16.74,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,18.399,276.74,-276.74,-18.399,721586.1975,4846104.758,Managed/CutRegrowth
616,13,5785,TSUCAN,17.3,17.247,16.324,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,17.247,276.324,-276.324,-17.247,721585.6505,4846105.91,Managed/CutRegrowth
617,13,5786,FRANIG,27.6,17.928,13.746,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,260,17.928,273.746,-273.746,-17.928,721583.1567,4846104.992,Managed/CutRegrowth
618,13,5787,TSUCAN,5.7,18.111,11.949,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,18.111,271.949,-271.949,-18.111,721581.3849,4846104.653,Managed/CutRegrowth
619,13,5788,CARCAR,2,15.886,12.261,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,260,15.886,272.261,-272.261,-15.886,721581.4413,4846106.973,Managed/CutRegrowth
620,13,5789,TSUCAN,6.2,14.394,13.199,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,14.394,273.199,-273.199,-14.394,721582.2061,4846108.589,Managed/CutRegrowth
621,13,5790,ACESAC,7.8,10.755,16.688,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,10.755,276.688,-276.688,-10.755,721585.2699,4846112.633,Managed/CutRegrowth
622,13,5791,TSUCAN,20.5,13.922,17.391,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,13.922,277.391,-277.391,-13.922,721586.3341,4846109.427,Managed/CutRegrowth
623,13,5792,TSUCAN,19,11.933,19.449,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,11.933,279.449,-279.449,-11.933,721588.1593,4846111.65,Managed/CutRegrowth
624,13,5793,TSUCAN,8.3,16.88,18.876,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,16.88,278.876,-278.876,-16.88,721588.1544,4846106.502,Managed/CutRegrowth
625,13,5794,TILAME,8.4,6.435,17.47,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,260,6.435,277.47,-277.47,-6.435,721585.5551,4846117.151,Managed/CutRegrowth
626,13,6501,CARGLA,4.2,5.707,16.866,,Carya glabra,Pignut Hickory,Juglandaceae,DECIDUOUS,20,20,0,260,5.707,276.866,-276.866,-5.707,721584.8692,4846117.851,Managed/CutRegrowth
627,13,6502,ACESAC,13.3,5.179,16.168,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,5.179,276.168,-276.168,-5.179,721584.1124,4846118.337,Managed/CutRegrowth
628,13,6503,FAGGRA,22.6,3.268,16.35,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,3.268,276.35,-276.35,-3.268,721584.075,4846120.322,Managed/CutRegrowth
629,13,6504,FRANIG,47.5,1.174,11.428,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,260,1.174,271.428,-271.428,-1.174,721578.9248,4846122.068,Managed/CutRegrowth
630,13,6505,FAGGRA,3.8,1.88,10.308,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,1.88,270.308,-270.308,-1.88,721577.8884,4846121.246,Managed/CutRegrowth
631,13,6506,FAGGRA,6.8,2.771,12.339,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,2.771,272.339,-272.339,-2.771,721580.0166,4846120.498,Managed/CutRegrowth
632,13,6507,FRANIG,14.4,2.98,12.704,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,260,2.98,272.704,-272.704,-2.98,721580.4047,4846120.313,Managed/CutRegrowth
633,13,6508,FAGGRA,4.7,4.682,10.126,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,4.682,270.126,-270.126,-4.682,721578.0278,4846118.343,Managed/CutRegrowth
634,13,6509,TSUCAN,7.8,5.833,10.1,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,5.833,270.1,-270.1,-5.833,721578.1337,4846117.154,Managed/CutRegrowth
635,13,6510,TSUCAN,8.8,3.163,7.079,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,3.163,267.079,-267.079,-3.163,721574.8141,4846119.653,Managed/CutRegrowth
636,13,6511,FRANIG,54,4.682,8.589,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,260,4.682,268.589,-268.589,-4.682,721576.4945,4846118.214,Managed/CutRegrowth
637,13,6512,BETALL,21.4,9.027,9.865,,Betula alleghaniensis,Yellow Birch/ Silver Birch,Betulaceae,DECIDUOUS,20,20,0,260,9.027,269.865,-269.865,-9.027,721578.2652,4846113.842,Managed/CutRegrowth
638,13,6513,TSUCAN,5.5,8.713,9.162,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,8.713,269.162,-269.162,-8.713,721577.5279,4846114.107,Managed/CutRegrowth
639,13,6514,ACESAC,32.9,7.43,3.668,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,7.43,263.668,-263.668,-7.43,721571.9,4846114.969,Managed/CutRegrowth
640,13,6515,TSUCAN,11.2,8.085,3.694,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,8.085,263.694,-263.694,-8.085,721572.001,4846114.296,Managed/CutRegrowth
641,13,6516,ACESAC,31.2,8.242,3.069,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,8.242,263.069,-263.069,-8.242,721571.3955,4846114.081,Managed/CutRegrowth
642,13,6517,FAGGRA,5.4,2.771,0.1,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,2.771,260.1,-260.1,-2.771,721567.8068,4846119.472,Managed/CutRegrowth
643,13,6519,TSUCAN,8.1,3.242,6.402,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,3.242,266.402,-266.402,-3.242,721574.1477,4846119.515,Managed/CutRegrowth
644,13,6520,TILAME,52,10.022,2.235,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,260,10.022,262.235,-262.235,-10.022,721570.7674,4846112.177,Managed/CutRegrowth
645,13,6521,FAGGRA,3.9,11.959,3.485,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,260,11.959,263.485,-263.485,-11.959,721572.2363,4846110.285,Managed/CutRegrowth
646,13,6522,ACESAC,24.7,12.797,3.433,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,260,12.797,263.433,-263.433,-12.797,721572.2805,4846109.417,Managed/CutRegrowth
647,13,6523,TSUCAN,12.5,11.095,8.277,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,11.095,268.277,-268.277,-11.095,721576.9179,4846111.577,Managed/CutRegrowth
648,13,6525,TSUCAN,7.7,17.116,9.839,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,17.116,269.839,-269.839,-17.116,721579.166,4846105.502,Managed/CutRegrowth
649,13,6526,TILAME,10.1,15.912,1.324,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,260,15.912,261.324,-261.324,-15.912,721570.5334,4846106.029,Pasture1973
650,13,6527,TSUCAN,20.7,16.252,6.975,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,16.252,266.975,-266.975,-16.252,721576.2098,4846106.152,Managed/CutRegrowth
651,13,06518-1,TSUCAN,7.8,0.493,6.063,M,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,0.493,266.063,-266.063,-0.493,721573.4946,4846122.32,Managed/CutRegrowth
652,13,06518-3,TSUCAN,6.5,0.624,6.324,M,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,260,0.624,266.324,-266.324,-0.624,721573.77,4846122.207,Managed/CutRegrowth
653,14,6020,BETPAP,15.9,4.02,7.75,,Betula papyrifera,Paper Birch,Betulaceae,DECIDUOUS,20,20,0,280,4.02,287.75,-287.75,-4.02,721595.534,4846120.503,Pasture1973
654,14,6021,TSUCAN,16.6,4.82,10.33,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,4.82,290.33,-290.33,-4.82,721598.1995,4846119.894,Pasture1973
655,14,6022,PINSTR,12.1,6.73,11.03,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,280,6.73,291.03,-291.03,-6.73,721599.1166,4846117.984,Managed/CutRegrowth
656,14,6023,PINSTR,18.2,9.49,6.98,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,280,9.49,286.98,-286.98,-9.49,721595.3925,4846114.799,Managed/CutRegrowth
657,14,6024,FRAALN,1.1,10.51,7.89,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,10.51,287.89,-287.89,-10.51,721596.4171,4846113.824,Managed/CutRegrowth
658,14,6025,FRAALN,1.1,10.47,8.25,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,10.47,288.25,-288.25,-10.47,721596.7717,4846113.896,Managed/CutRegrowth
659,14,6026,TSUCAN,30.1,13.15,6.1,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,13.15,286.1,-286.1,-13.15,721594.9339,4846110.953,Managed/CutRegrowth
660,14,6027,FRAALN,14.1,10.82,7.78,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,10.82,287.78,-287.78,-10.82,721596.3429,4846113.496,Managed/CutRegrowth
661,14,6030,FAGGRA,-1,12.08,7.89,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,280,12.08,287.89,-287.89,-12.08,721596.597,4846112.206,Managed/CutRegrowth
662,14,6031,FRAALN,1.4,7.32,11.31,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.32,291.31,-291.31,-7.32,721599.4635,4846117.399,Managed/CutRegrowth
663,14,6032,FRAALN,1.9,7.65,11.85,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.65,291.85,-291.85,-7.65,721600.04,4846117.104,Managed/CutRegrowth
664,14,6033,FRAALN,2.1,16.65,7.12,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,16.65,287.12,-287.12,-16.65,721596.3524,4846107.431,Managed/CutRegrowth
665,14,6034,FRAALN,2.8,16.93,6.14,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,16.93,286.14,-286.14,-16.93,721595.4068,4846107.06,Managed/CutRegrowth
666,14,6035,FRAALN,2.2,6.34,17.01,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.34,297.01,-297.01,-6.34,721605.0377,4846118.887,Managed/CutRegrowth
667,14,6036,FRAALN,5.5,8.94,15.9,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,8.94,295.9,-295.9,-8.94,721604.2282,4846116.114,Managed/CutRegrowth
668,14,6037,FRAALN,1.5,9.12,17.96,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,9.12,297.96,-297.96,-9.12,721606.3039,4846116.101,Managed/CutRegrowth
669,14,6038,TSUCAN,6,10.34,19.62,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,10.34,299.62,-299.62,-10.34,721608.0997,4846114.983,Managed/CutRegrowth
670,14,6039,TSUCAN,3.7,10.38,19.61,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,10.38,299.61,-299.61,-10.38,721608.0943,4846114.941,Managed/CutRegrowth
671,14,6040,TILAME,19,8.94,19.35,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,280,8.94,299.35,-299.35,-8.94,721607.67,4846116.403,Managed/CutRegrowth
672,14,6041,ACESAC,16.6,13.07,18.43,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,280,13.07,298.43,-298.43,-13.07,721607.2253,4846112.069,Managed/CutRegrowth
673,14,6042,ACESAC,3,13.07,18.43,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,280,13.07,298.43,-298.43,-13.07,721607.2253,4846112.069,Managed/CutRegrowth
674,14,6043,FAGGRA,19.1,13.66,17.11,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,280,13.66,297.11,-297.11,-13.66,721605.976,4846111.35,Managed/CutRegrowth
675,14,6044,BETALL,27.2,16.55,18.76,,Betula alleghaniensis,Yellow Birch/ Silver Birch,Betulaceae,DECIDUOUS,20,20,0,280,16.55,298.76,-298.76,-16.55,721607.9532,4846108.509,Managed/CutRegrowth
676,14,6045,FRANIG,24.5,16.81,16.09,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,280,16.81,296.09,-296.09,-16.81,721605.3193,4846108.018,Managed/CutRegrowth
677,14,6046,TSUCAN,13.7,18.07,12.94,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,18.07,292.94,-292.94,-18.07,721602.3212,4846106.455,Managed/CutRegrowth
678,14,6047,ACESAC,54.3,18.58,10.02,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,280,18.58,290.02,-290.02,-18.58,721599.4666,4846105.684,Managed/CutRegrowth
679,14,6048,FRANIG,36.4,19.7,9.28,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,280,19.7,289.28,-289.28,-19.7,721598.8567,4846104.468,Managed/CutRegrowth
680,14,6049,TSUCAN,10.1,18.27,7.63,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,18.27,287.63,-287.63,-18.27,721597.0468,4846105.803,Managed/CutRegrowth
681,14,6050,TSUCAN,8.9,16.91,8.14,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,16.91,288.14,-288.14,-16.91,721597.3998,4846107.248,Managed/CutRegrowth
682,14,6051,TSUCAN,17.8,16.58,9.4,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,16.58,289.4,-289.4,-16.58,721598.6189,4846107.694,Managed/CutRegrowth
683,14,6053,TSUCAN,7.5,15.51,7.81,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,15.51,287.81,-287.81,-15.51,721596.9101,4846108.664,Managed/CutRegrowth
684,14,6054,TSUCAN,22.8,19.41,5.05,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,19.41,285.05,-285.05,-19.41,721594.6035,4846104.412,Managed/CutRegrowth
685,14,6055,TSUCAN,9.2,16.01,5.13,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,16.01,285.13,-285.13,-16.01,721594.2938,4846107.924,Managed/CutRegrowth
686,14,6056,TSUCAN,8,15.1,4.23,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,15.1,284.23,-284.23,-15.1,721593.2917,4846108.786,Managed/CutRegrowth
687,14,6057,TSUCAN,7.5,15.98,3.24,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,15.98,283.24,-283.24,-15.98,721592.4049,4846107.796,Managed/CutRegrowth
688,14,6058,TSUCAN,11.2,17.06,2.37,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,17.06,282.37,-282.37,-17.06,721591.6607,4846106.61,Managed/CutRegrowth
689,14,6059,TSUCAN,3.7,19.61,10.38,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,280,19.61,290.38,-290.38,-19.61,721599.9437,4846104.653,Managed/CutRegrowth
690,14,6060,FAGGRA,4,6,11.08,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,280,6,291.08,-291.08,-6,721599.0829,4846118.741,Managed/CutRegrowth
691,14,6063,FRAALN,2.5,7.35,18.27,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.35,298.27,-298.27,-7.35,721606.4104,4846117.952,Managed/CutRegrowth
692,14,6064,FRAALN,1.6,8.24,18.99,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,8.24,298.99,-298.99,-8.24,721607.2306,4846117.095,Managed/CutRegrowth
693,14,6065,FRAALN,1.8,8.06,19.2,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,8.06,299.2,-299.2,-8.06,721607.4195,4846117.298,Managed/CutRegrowth
694,14,6066,FRAALN,1.3,18.99,6.96,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,18.99,286.96,-286.96,-18.99,721596.4609,4846105.005,Managed/CutRegrowth
695,14,6067,FRAALN,1.8,7.17,19.15,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.17,299.15,-299.15,-7.17,721607.2677,4846118.211,Managed/CutRegrowth
696,14,6068,FRAALN,2.3,6.94,19.22,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.94,299.22,-299.22,-6.94,721607.3111,4846118.454,Managed/CutRegrowth
697,14,6069,FRAALN,3.3,6.7,19.18,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.7,299.18,-299.18,-6.7,721607.2437,4846118.698,Managed/CutRegrowth
698,14,6070,FRAALN,1.9,18.68,6.49,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,18.68,286.49,-286.49,-18.68,721595.9565,4846105.285,Managed/CutRegrowth
699,14,6071,FRAALN,2.8,5.85,17.99,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.85,297.99,-297.99,-5.85,721605.9592,4846119.475,Pasture1973
700,14,6072,FRAALN,2.2,5.33,17.79,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.33,297.79,-297.79,-5.33,721605.7001,4846119.994,Pasture1973
701,14,6073,FRAALN,1.4,5.05,18.51,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.05,298.51,-298.51,-5.05,721606.3863,4846120.343,Pasture1973
702,14,6074,FRAALN,2.3,18.07,5.69,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,18.07,285.69,-285.69,-18.07,721595.0885,4846105.847,Managed/CutRegrowth
703,14,6075,FRAALN,2.4,7.11,18.89,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.11,298.89,-298.89,-7.11,721607.0014,4846118.251,Managed/CutRegrowth
704,14,6076,FRAALN,2.2,7.47,18.95,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.47,298.95,-298.95,-7.47,721607.1025,4846117.885,Managed/CutRegrowth
705,14,6077,FRAALN,2.6,5.03,17.63,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.03,297.63,-297.63,-5.03,721605.5061,4846120.29,Pasture1973
706,14,6078,FRAALN,1.4,5.93,16.45,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.93,296.45,-296.45,-5.93,721604.432,4846119.263,Managed/CutRegrowth
707,14,6079,FRAALN,1,6.7,18.61,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.7,298.61,-298.61,-6.7,721606.6751,4846118.65,Managed/CutRegrowth
708,14,6080,FRAALN,1.2,7.08,18.3,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,7.08,298.3,-298.3,-7.08,721606.4094,4846118.233,Managed/CutRegrowth
709,14,6081,FRAALN,2.3,6.86,17.88,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.86,297.88,-297.88,-6.86,721605.9652,4846118.424,Managed/CutRegrowth
710,14,6082,FRAALN,1.3,6.54,17.39,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.54,297.39,-297.39,-6.54,721605.4397,4846118.713,Managed/CutRegrowth
711,14,6083,FRAALN,1.2,5.41,17.01,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,5.41,297.01,-297.01,-5.41,721604.9311,4846119.846,Pasture1973
712,14,6084,FRAALN,1.6,6.93,18.37,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,280,6.93,298.37,-298.37,-6.93,721606.462,4846118.393,Managed/CutRegrowth
713,14,06052-1,ACESAC,23.5,15.33,8.45,M,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,280,15.33,288.45,-288.45,-15.33,721597.528,4846108.903,Managed/CutRegrowth
714,14,06052-2,ACESAC,17.8,15.33,8.45,M,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,280,15.33,288.45,-288.45,-15.33,721597.528,4846108.903,Managed/CutRegrowth
715,15,975,FRAALN,1.9,5.96,8.36,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,5.96,308.36,-308.36,-5.96,721616.3171,4846120.23,Pasture1973
716,15,8579,FRAALN,1.2,2.86,15.22,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,2.86,315.22,-315.22,-2.86,721622.8056,4846124.001,Pasture1973
717,15,8580,FRAALN,1.4,2.91,15.24,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,2.91,315.24,-315.24,-2.91,721622.8312,4846123.951,Pasture1973
718,15,8581,FRAALN,1.7,2.5,15.33,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,2.5,315.33,-315.33,-2.5,721622.8741,4846124.381,Pasture1973
719,15,8582,FRAALN,1.1,3,16.15,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,3,316.15,-316.15,-3,721623.7494,4846123.935,Pasture1973
720,15,8583,PINSTR,5.1,2.25,15.74,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,2.25,315.74,-315.74,-2.25,721623.2544,4846124.673,Pasture1973
721,15,8584,PINSTR,3.3,2.41,16.37,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,2.41,316.37,-316.37,-2.41,721623.9013,4846124.561,Pasture1973
722,15,8585,FRAALN,1.4,2.78,16.42,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,2.78,316.42,-316.42,-2.78,721623.9935,4846124.184,Pasture1973
723,15,8586,ABCDE,2.3,2.45,16.49,,ABCDE ABCDE,ABCDE,ABCDE,OTHER,20,20,0,300,2.45,316.49,-316.49,-2.45,721624.0256,4846124.53,Pasture1973
724,15,8587,FRAALN,1.6,1.89,16.27,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,1.89,316.27,-316.27,-1.89,721623.7419,4846125.089,Pasture1973
725,15,8588,PINSTR,9.4,2.56,17.12,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,2.56,317.12,-317.12,-2.56,721624.6667,4846124.47,Pasture1973
726,15,8589,FRAPEN,1.2,1.95,16.78,,Fraxinus pennsylvanica,Green ash,Oleaceae,DECIDUOUS,20,20,0,300,1.95,316.78,-316.78,-1.95,721624.2576,4846125.07,Pasture1973
727,15,8590,PINSTR,1.7,1.65,16.1,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,1.65,316.1,-316.1,-1.65,721623.5448,4846125.322,Pasture1973
728,15,8591,PINSTR,4.8,1.76,16.23,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,1.76,316.23,-316.23,-1.76,721623.6871,4846125.22,Pasture1973
729,15,8592,FRAALN,1.1,1.9,16.43,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,1.9,316.43,-316.43,-1.9,721623.9027,4846125.092,Pasture1973
730,15,8593,FRAALN,1.1,10.82,19.64,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,10.82,319.64,-319.64,-10.82,721628.127,4846116.166,Pasture1973
731,15,8594,FRAALN,1,11.35,19.59,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,11.35,319.59,-319.59,-11.35,721628.1378,4846115.616,Pasture1973
732,15,8595,FRAALN,1,11.18,19.1,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,11.18,319.1,-319.1,-11.18,721627.6295,4846115.75,Pasture1973
733,15,8596,FRAALN,1.2,11.62,19.34,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,11.62,319.34,-319.34,-11.62,721627.9193,4846115.317,Pasture1973
734,15,8597,FRAALN,1,11.97,19.32,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,11.97,319.32,-319.32,-11.97,721627.9395,4846114.954,Pasture1973
735,15,8598,FRAALN,1.2,11.98,19.61,,Frangula alnus,Alder buckthorn,Rhamnaceae,DECIDUOUS,20,20,0,300,11.98,319.61,-319.61,-11.98,721628.2299,4846114.968,Pasture1973
736,15,9166,PINSTR,3.3,0.77,11.86,,Pinus strobus,White Pine,Pinaceae,CONIFER,20,20,0,300,0.77,311.86,-311.86,-0.77,721619.2141,4846125.874,Pasture1973
