OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
31,0,31,ACESAC,17.2,12.038,9.021,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,0,12.038,9.021,-9.021,-12.038,721318.3881,4846088.872,Managed Forest
32,0,32,CARCAR,5.8,15.327,7.354,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,0,15.327,7.354,-7.354,-15.327,721317.1019,4846085.342,Managed Forest
33,0,33,FRANIG,46.5,17.98,8.857,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,0,17.98,8.857,-8.857,-17.98,721318.9052,4846082.733,Managed Forest
34,0,34,FRANIG,9.9,16.096,5.387,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,0,16.096,5.387,-5.387,-16.096,721315.2277,4846084.384,Managed Forest
35,0,35,ACESAC,4.2,17.449,4.841,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,0,17.449,4.841,-4.841,-17.449,721314.838,4846082.944,Managed Forest
36,0,36,FRANIG,12,17.423,3.42,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,0,17.423,3.42,-3.42,-17.423,721313.4174,4846082.852,Managed Forest
37,0,37,FRANIG,5.2,18.616,2.464,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,0,18.616,2.464,-2.464,-18.616,721312.6004,4846081.542,Managed Forest
38,0,38,ACESAC,21.6,19.173,8.693,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,0,19.173,8.693,-8.693,-19.173,721318.8783,4846081.49,Managed Forest
39,0,00001-2,TILAME,34.8,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,0,1.523,1.425,-1.425,-1.523,721309.6056,4846099.074,Managed Forest
40,0,00001-3,TILAME,36.1,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,0,1.523,1.425,-1.425,-1.523,721309.6056,4846099.074,Managed Forest
41,0,00001-4,TILAME,38.7,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,0,1.523,1.425,-1.425,-1.523,721309.6056,4846099.074,Managed Forest
42,0,00001-5,TILAME,24,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,0,1.523,1.425,-1.425,-1.523,721309.6056,4846099.074,Managed Forest
43,1,201,ACESAC,3.4,1.043,1.365,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,20,1.043,21.365,-21.365,-1.043,721329.4431,4846101.241,Managed Forest
44,1,202,TSUCAN,9.1,3.173,5.821,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,3.173,25.821,-25.821,-3.173,721334.1325,4846099.418,Managed Forest
45,1,203,CARCAR,4.5,2.175,5.333,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,20,2.175,25.333,-25.333,-2.175,721333.5313,4846100.406,Managed Forest
46,1,204,TSUCAN,11.6,1.414,6.283,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,1.414,26.283,-26.283,-1.414,721334.3918,4846101.27,Managed Forest
47,1,205,TSUCAN,12.1,0.154,8.863,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,0.154,28.863,-28.863,-0.154,721336.8213,4846102.785,Managed Forest
48,1,206,TSUCAN,5.8,0.732,9.515,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,0.732,29.515,-29.515,-0.732,721337.538,4846102.244,Managed Forest
49,1,207,TSUCAN,7.3,4.406,8.13,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,4.406,28.13,-28.13,-4.406,721336.5772,4846098.341,Managed Forest
50,1,208,TSUCAN,11.5,4.695,9.026,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,4.695,29.026,-29.026,-4.695,721337.5042,4846098.118,Managed Forest
51,1,209,FRAAME,36.4,6.086,9.134,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,20,6.086,29.134,-29.134,-6.086,721337.7713,4846096.693,Managed Forest
52,1,210,TSUCAN,10.4,6.69,8.265,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,6.69,28.265,-28.265,-6.69,721336.9736,4846095.998,Managed Forest
53,1,211,FRANIG,51.2,7.372,9.297,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,20,7.372,29.297,-29.297,-7.372,721338.0812,4846095.382,Managed Forest
